"강좌명","접수상태","운영기간(시작)","운영기간(종료)","신청기간(시작)","신청기간(종료)","수강료","시간(시작)","시간(종료)","문의전화","첨부파일","운영기관","정원","접수","잔여","위치정보(위도)","위치정보(경도)","주소"
"우쿨렐레(중급반)","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-31 10:00:00","20000","11:00","13:00","051-665-5772","-","연제구 거제4동 주민자치회","20","0","20","35.1800009636795","129.065910458116","부산 연제구 화지로52번길 33 (거제동, 거제4동 행정복지센터)"
"우쿨렐레(고급반)","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-31 18:00:00","20000","11:00","13:00","051-665-5772","-","연제구 거제4동 주민자치회","20","0","20","35.1800009636795","129.065910458116","부산 연제구 화지로52번길 33 (거제동, 거제4동 행정복지센터)"
"단요가","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-20 10:00:00","25000","11:00","13:00","051-665-5772","-","연제구 거제4동 주민자치회","20","0","20","35.1800009636795","129.065910458116","부산 연제구 화지로52번길 33 (거제동, 거제4동 행정복지센터)"
"라인댄스","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","15:30","16:30","051-749-6722","-","해운대구 좌1동 주민자치회","30","0","30","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"스포츠댄스","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","16:00","17:30","051-749-6722","-","해운대구 좌1동 주민자치회","30","0","30","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"꽃꽃이","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","15000","14:30","15:30","051-749-6722","-","해운대구 좌1동 주민자치회","20","0","20","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"서예","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","10:00","12:00","051-749-6722","-","해운대구 좌1동 주민자치회","20","0","20","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"사군자(문인화)","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","13:30","15:30","051-749-6722","-","해운대구 좌1동 주민자치회","20","0","20","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"오색한지공예","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","15000","10:00","11:00","051-749-6722","-","해운대구 좌1동 주민자치회","20","0","20","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"중국어 초급반","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","09:30","10:20","051-749-6722","-","해운대구 좌1동 주민자치회","25","0","25","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"중국어 중급반","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","10:30","11:20","051-749-6722","-","해운대구 좌1동 주민자치회","25","0","25","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"생활영어 고급반","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","09:30","10:20","051-749-6722","-","해운대구 좌1동 주민자치회","30","0","30","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"생활영어 중급반","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","10:30","11:20","051-749-6722","-","해운대구 좌1동 주민자치회","35","0","35","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"다도교실","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","15000","14:00","15:00","051-749-6722","-","해운대구 좌1동 주민자치회","20","0","20","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"요가","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","14:00","15:00","051-749-6722","-","해운대구 좌1동 주민자치회","40","0","40","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"캘리그라피","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-31 18:00:00","30000","10:00","12:00","051-749-6722","-","해운대구 좌1동 주민자치회","20","0","20","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"스포츠댄스(초급)","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-22 18:00:00","10000","11:00","12:00","6056722","-","부산진구 부암3동 주민자치회","20","0","20","35.1690170291","129.0396548486","부산 부산진구 백양순환로110번길 25 (부암동, 부암3동 주민센터)"
"스포츠댄스(중급)","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-22 18:00:00","0","10:00","11:00","6056722","-","부산진구 부암3동 주민자치회","20","0","20","35.1690170291","129.0396548486","부산 부산진구 백양순환로110번길 25 (부암동, 부암3동 주민센터)"
"수묵(그림&글씨)","교육중","2024-04-01","2024-06-21","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","09:00","10:30","051-749-6782","-","해운대구 좌3동 주민자치회","25","0","25","35.172265608","129.1666142751","부산 해운대구 좌동순환로 65 (좌동, 좌3동주민센터)"
"라인댄스(초급)","교육중","2024-04-01","2024-06-21","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","11:00","12:00","051-749-6782","-","해운대구 좌3동 주민자치회","40","0","40","35.172265608","129.1666142751","부산 해운대구 좌동순환로 65 (좌동, 좌3동주민센터)"
"건강댄스(15시)","교육중","2024-04-15","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","15:00","16:00","051-519-5142","-","금정구 서3동 주민자치회","25","0","25","35.2171993349","129.1039304086","부산 금정구 서곡로33번길 9 (서동, 서3동주민센터)"
"생활여행영어-동아리","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-29 18:00:00","99999","10:00","12:00","051-519-5306","-","금정구 장전2동 주민자치회","8","0","8","35.2277469176","129.0809684614","부산 금정구 소정로 19 (장전동, 장전2동주민센터)"
"라인댄스(초중급)","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","15:00","16:00","051-519-5306","-","금정구 장전2동 주민자치회","17","0","17","35.2277469176","129.0809684614","부산 금정구 소정로 19 (장전동, 장전2동주민센터)"
"천아트","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","10:00","12:00","051-519-5306","-","금정구 장전2동 주민자치회","10","0","10","35.2277469176","129.0809684614","부산 금정구 소정로 19 (장전동, 장전2동주민센터)"
"서예","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","10:00","12:00","051-519-5306","-","금정구 장전2동 주민자치회","15","0","15","35.2277469176","129.0809684614","부산 금정구 소정로 19 (장전동, 장전2동주민센터)"
"유행댄스(2024. 2분기)","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","10000","10:00","11:00","051-605-6532","-","부산진구 부전2동 주민자치회","20","0","20","35.1529478946076","129.05727464645","부산 부산진구 서면로 25 (부전동, 삼한개발주식회사)"
"웰빙요가(2024. 2분기)","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","11:00","12:00","051-605-6532","-","부산진구 부전2동 주민자치회","20","0","20","35.1529478946076","129.05727464645","부산 부산진구 서면로 25 (부전동, 삼한개발주식회사)"
"원어민 영어회화(2024. 2분기) (접수마감)","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-20 14:00:00","10000","14:00","16:00","051-605-6532","-","부산진구 부전2동 주민자치회","15","0","15","35.1529478946076","129.05727464645","부산 부산진구 서면로 25 (부전동, 삼한개발주식회사)"
"보태니컬 아트(2024. 2분기)","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","10:00","12:00","051-605-6532","-","부산진구 부전2동 주민자치회","10","0","10","35.1529478946076","129.05727464645","부산 부산진구 서면로 25 (부전동, 삼한개발주식회사)"
"생활영어(초급)","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-31 18:00:00","20000","10:00","12:00","051-665-5772","-","연제구 거제4동 주민자치회","20","0","20","35.1800009636795","129.065910458116","부산 연제구 화지로52번길 33 (거제동, 거제4동 행정복지센터)"
"사물놀이교실(고급반)","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-31 18:00:00","25000","14:00","16:00","051-665-5772","-","연제구 거제4동 주민자치회","15","0","15","35.1800009636795","129.065910458116","부산 연제구 화지로52번길 33 (거제동, 거제4동 행정복지센터)"
"하모니카 교실(중급)","교육중","2024-04-15","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","15000","16:00","18:00","051-519-5142","-","금정구 서3동 주민자치회","20","0","20","35.2171993349","129.1039304086","부산 금정구 서곡로33번길 9 (서동, 서3동주민센터)"
"민요장구","교육중","2024-04-15","2024-06-28","2024-03-18 09:00:00","2024-03-29 18:00:00","15000","14:30","16:30","051-519-5142","-","금정구 서3동 주민자치회","20","0","20","35.2171993349","129.1039304086","부산 금정구 서곡로33번길 9 (서동, 서3동주민센터)"
"생황영어 초급반","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-31 18:00:00","30000","11:30","12:20","051)749-6722","-","해운대구 좌1동 주민자치회","30","0","30","35.1708859299","129.1742071453","부산 해운대구 양운로 91 (좌동, 좌1동주민센터)"
"라인댄스(중급)","접수중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-06-28 18:00:00","30000","09:20","10:20","051-749-6472","-","해운대구 재송2동 주민자치회","30","0","30","35.1896431101","129.1253407323","부산 해운대구 재반로125번길 26 (재송동, 재송2동주민센터)"
"소도구 필라테스","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-22 18:00:00","45000","11:00","12:00","051-749-5972","-","해운대구 재송1동 주민자치회","35","0","35","35.1846280559","129.1251969252","부산 해운대구 재반로63번길 23 (재송동, 재송1동주민센터)"
"노래교실","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-22 18:00:00","22500","14:00","15:30","051-749-5972","-","해운대구 재송1동 주민자치회","90","0","90","35.1846280559","129.1251969252","부산 해운대구 재반로63번길 23 (재송동, 재송1동주민센터)"
"노래교실","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-04-19 18:00:00","15000","14:30","16:00","051-749-6472","-","해운대구 재송2동 주민자치회","80","0","80","35.1896431101","129.1253407323","부산 해운대구 재반로125번길 26 (재송동, 재송2동주민센터)"
"한국무용","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-22 18:00:00","0","10:00","12:00","6056722","-","부산진구 부암3동 주민자치회","20","0","20","35.1690170291","129.0396548486","부산 부산진구 백양순환로110번길 25 (부암동, 부암3동 주민센터)"
"어린이서예반","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-22 18:00:00","0","09:00","10:00","6056722","-","부산진구 부암3동 주민자치회","0","0","0","35.1690170291","129.0396548486","부산 부산진구 백양순환로110번길 25 (부암동, 부암3동 주민센터)"
"힐링 건강댄스","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-22 18:00:00","30000","11:30","12:30","051-749-5972","-","해운대구 재송1동 주민자치회","35","0","35","35.1846280559","129.1251969252","부산 해운대구 재반로63번길 23 (재송동, 재송1동주민센터)"
"요가야간B","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-04-19 18:00:00","45000","19:40","20:40","051-749-6472","-","해운대구 재송2동 주민자치회","25","0","25","35.1896431101","129.1253407323","부산 해운대구 재반로125번길 26 (재송동, 재송2동주민센터)"
"오카리나","접수중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-06-28 18:00:00","30000","10:00","12:00","051-749-6472","-","해운대구 재송2동 주민자치회","20","0","20","35.1896431101","129.1253407323","부산 해운대구 재반로125번길 26 (재송동, 재송2동주민센터)"
"민요교실","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-22 18:00:00","10000","10:00","12:00","6056722","-","부산진구 부암3동 주민자치회","15","0","15","35.1690170291","129.0396548486","부산 부산진구 백양순환로110번길 25 (부암동, 부암3동 주민센터)"
"라인댄스(왕초급)","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","16:00","17:00","051-519-5306","-","금정구 장전2동 주민자치회","17","0","17","35.2277469176","129.0809684614","부산 금정구 소정로 19 (장전동, 장전2동주민센터)"
"요가(초급)","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","09:30","10:30","051-519-5306","-","금정구 장전2동 주민자치회","15","0","15","35.2277469176","129.0809684614","부산 금정구 소정로 19 (장전동, 장전2동주민센터)"
"요가(중급)","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","10:30","11:30","051-519-5306","-","금정구 장전2동 주민자치회","15","0","15","35.2277469176","129.0809684614","부산 금정구 소정로 19 (장전동, 장전2동주민센터)"
"경기민요장구","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","14:00","15:00","051-519-5306","-","금정구 장전2동 주민자치회","15","0","15","35.2277469176","129.0809684614","부산 금정구 소정로 19 (장전동, 장전2동주민센터)"
"민요고고장구","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-29 18:00:00","30000","14:30","15:30","051-519-5306","-","금정구 장전2동 주민자치회","15","0","15","35.2254036625283","129.083947681106","부산 금정구 식물원로44번길 2-5 (장전동)"
"가요장구(중급반)","교육중","2024-04-01","2024-06-30","2024-03-18 09:00:00","2024-03-22 18:00:00","0","15:00","16:30","6056722","-","부산진구 부암3동 주민자치회","20","0","20","35.1690170291","129.0396548486","부산 부산진구 백양순환로110번길 25 (부암동, 부암3동 주민센터)"
"추억의 복고댄스","교육중","2024-04-01","2024-06-28","2024-03-18 09:00:00","2024-03-22 18:00:00","30000","15:30","16:30","051-749-5972","-","해운대구 재송1동 주민자치회","15","0","15","35.1846280559","129.1251969252","부산 해운대구 재반로63번길 23 (재송동, 재송1동주민센터)"
"세상에 하나뿐인, 나만의 작품 『가죽공예 클래스』","접수마감","2024-05-27","2024-06-24","2024-03-18 09:00:00","2024-03-22 18:00:00","0","10:00","12:00","051-749-5972","-","해운대구 재송1동 주민자치회","15","0","15","35.1846280559","129.1251969252","부산 해운대구 재반로63번길 23 (재송동, 재송1동주민센터)"
"노래교실","접수중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-06-28 18:00:00","10000","11:00","12:00","051-749-6662","-","해운대구 우3동 주민자치회","30","0","30","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"우드아트","접수중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-06-28 18:00:00","30000","10:00","12:00","051-749-6662","-","해운대구 우3동 주민자치회","15","0","15","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"건강댄스(중급A)","교육중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-03-18 18:00:00","30000","09:00","10:00","051-749-6662","-","해운대구 우3동 주민자치회","35","0","35","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"건강댄스(중급B)","교육중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-03-18 18:00:00","30000","10:00","11:00","051-749-6662","-","해운대구 우3동 주민자치회","35","0","35","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"요가 B반","교육중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-03-18 18:00:00","30000","10:00","11:00","051-749-6662","-","해운대구 우3동 주민자치회","35","0","35","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"요가 A반","교육중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-03-18 18:00:00","30000","09:00","10:00","051-749-6662","-","해운대구 우3동 주민자치회","35","0","35","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"탁구(초급)","교육중","2024-04-16","2024-06-28","2024-03-18 08:00:00","2024-03-18 18:00:00","20000","10:00","11:00","051-749-6662","-","해운대구 우3동 주민자치회","20","0","20","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"탁구(중급)","교육중","2024-04-16","2024-06-28","2024-03-18 08:00:00","2024-03-18 18:00:00","20000","11:00","12:00","051-749-6662","-","해운대구 우3동 주민자치회","20","0","20","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"생활도예","접수중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-06-28 18:00:00","30000","10:00","12:00","051-749-6662","-","해운대구 우3동 주민자치회","15","0","15","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"기체조","교육중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-03-18 18:00:00","30000","11:00","12:00","051-749-6662","-","해운대구 우3동 주민자치회","40","0","40","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"원서와 함께하는 생활영어","교육중","2024-04-01","2024-06-30","2024-03-18 08:00:00","2024-03-19 18:00:00","30000","11:00","12:00","051-749-6662","-","해운대구 우3동 주민자치회","30","0","30","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"원어민 중국어(초급)","접수중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-06-28 18:00:00","30000","14:30","15:30","051-749-6662","-","해운대구 우3동 주민자치회","20","0","20","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"원어민 중국어(중급)","접수중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-06-28 18:00:00","30000","15:30","16:30","051-749-6662","-","해운대구 우3동 주민자치회","20","0","20","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"경기민요와 장구","접수중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-06-28 18:00:00","30000","14:00","16:00","051-749-6662","-","해운대구 우3동 주민자치회","15","0","15","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"풍물교실","접수중","2024-04-15","2024-06-28","2024-03-18 08:00:00","2024-06-28 18:00:00","20000","14:00","15:00","051-749-6662","-","해운대구 우3동 주민자치회","20","0","20","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"일본어(초급)","교육중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-03-18 18:00:00","30000","13:00","14:00","051-749-6662","-","해운대구 우3동 주민자치회","25","0","25","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"일본어(중급)","교육중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-03-19 18:00:00","30000","14:00","15:00","051-749-6662","-","해운대구 우3동 주민자치회","25","0","25","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"전통공예(한지/민화/등공예)","접수중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-06-28 18:00:00","30000","10:00","12:00","051-749-6662","-","해운대구 우3동 주민자치회","10","0","10","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"건강댄스(초급)","교육중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-03-18 18:00:00","30000","13:30","14:30","051-749-6662","-","해운대구 우3동 주민자치회","35","0","35","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"라인댄스(초급)","교육중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-03-18 18:00:00","30000","14:00","15:00","051-749-6662","-","해운대구 우3동 주민자치회","30","0","30","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"라인댄스(기초입문)","교육중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-03-18 18:00:00","30000","15:00","16:00","051-749-6662","-","해운대구 우3동 주민자치회","30","0","30","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"우리춤교실","접수중","2024-04-01","2024-06-28","2024-03-18 08:00:00","2024-06-28 18:00:00","0","17:00","18:00","051-749-6662","-","해운대구 우3동 주민자치회","20","0","20","35.1597327579","129.143308547","부산 해운대구 해운대해변로 104 (우동, 우3동 주민센터)"
"댄스스포츠교실(중급)","교육중","2024-04-01","2024-06-28","2024-03-18 00:00:00","2024-03-31 00:00:00","20000","14:00","15:00","051-665-5772","-","연제구 거제4동 주민자치회","20","0","20","35.1800009636795","129.065910458116","부산 연제구 화지로52번길 33 (거제동, 거제4동 행정복지센터)"
"스포츠 댄스(동아리)","교육중","2024-04-15","2024-06-28","2024-03-18 00:00:00","2024-03-29 00:00:00","0","10:00","11:00","051-519-5142","-","금정구 서3동 주민자치회","30","0","30","35.2171993349","129.1039304086","부산 금정구 서곡로33번길 9 (서동, 서3동주민센터)"
"생활영어(초급)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","11:00","12:00","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"생활영어(중급)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","10:00","11:00","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"여행일본어(초급)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","10:30","11:30","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"여행일본어(중급)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","09:30","10:30","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"원어민중국어","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-31 18:00:00","30000","11:00","12:00","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"요가(오전)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","09:20","10:30","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"요가(오후)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","16:00","17:00","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"요가(실버)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","10:50","11:50","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"세라밴드","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","0","10:00","11:00","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"라인댄스(초급)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","14:30","15:30","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"라인댄스(중급)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","14:30","15:30","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"라인댄스(고급)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","13:30","14:30","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"스포츠댄스(초급)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","16:20","17:20","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"스포츠댄스(중급)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","15:20","17:20","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"수채화(초급)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-31 18:00:00","30000","10:00","12:00","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"수채화(중급)","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-31 18:00:00","30000","13:20","15:20","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"꽃꽂이","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-31 18:00:00","30000","10:00","12:00","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"캘리그라피","교육중","2024-04-01","2024-06-30","2024-03-12 09:00:00","2024-03-17 18:00:00","30000","10:00","12:00","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"노래교실","교육중","2024-04-01","2024-06-30","2024-03-12 00:00:00","2024-03-17 00:00:00","15000","10:00","11:00","051-749-6812","-","해운대구 좌4동 주민자치회","50","0","50","35.1784998798493","129.169466799851","부산 해운대구 양운로 186 (좌동)"
"포크기타","교육중","2024-04-01","2024-06-30","2024-03-12 00:00:00","2024-03-31 00:00:00","15000","10:00","11:00","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
"펜드로잉","교육중","2024-04-01","2024-06-30","2024-03-12 00:00:00","2024-03-17 00:00:00","30000","10:00","12:00","051-749-6812","-","해운대구 좌4동 주민자치회","25","0","25","35.1778888202","129.1762551213","부산 해운대구 좌동순환로 183 (좌동, 좌4동주민센터)"
